	CODI_VIA	TIPUS_VIA	NOM_OFICIAL	NOM_CURT	DESCRIPCIO	DATA_APROVACIO	NOMS_ANTERIORS	DISTRICTES
486	50304	C	Carrer de Gabriel Ferrater	Gabriel Ferrater	Bonaventura Plaja i Tapis. Propietari i regidor de l'antiga vila de Sants. Els terrenys on s'obrí el carrer, en el paratge anomenat la Vall, eren propietat de Francesc d'Assís Carreras i Candi.	 (Abans de 1900)	Buenaventura Plaja	SANTS-MONTJUÏC (03)
487	50600	C	Carrer del Bon Pastor	Bon Pastor	Bonaventura Pollés i Vivó (Barcelona, 1857 - Sevilla, 1919). Arquitecte. Gran viatger i important aquarel·lista. Se'n conserven notables obres a Vilanova i la Geltrú, d'on procedia la seva família, i a Barcelona, per exemple a l'Escola Superior d'Arquitectura.	14/05/1924	Perelada	SANTS-MONTJUÏC (03)
488	50803	C	Carrer de Buenaventura Muñoz	Buenaventura Muñoz	Per la bona vista de què gaudia quan es va obrir (segon terç del segle XIX), sobre el pla de Barcelona i la llunyana ciutat.	 (Abans de 1900)	Buenavista	GRÀCIA (06)
489	50905	C	Carrer de Ventura Plaja	Ventura Plaja	Per la bona vista de l'indret al camí de Vallvidrera on es troba situat.			SARRIÀ-SANT GERVASI (05)
490	51001	C	Carrer de Bonaventura Pollés	Bonaventura Pollés	Ciutat de l'Argentina i capital de l'Estat. Forma part del conjunt de carrers de l'Eixample dedicats a capitals d'estats.	 (Abans de 1900)		EIXAMPLE (02)
491	51103	C	Carrer de Bonavista	Bonavista	Condueix a la plaça del Bonsuccés, on hi havia l'església de la Mare de Déu del Bon Succés, amb el convent annex, abans dels religiosos servites establerts a Barcelona l'any 1576, que van edificar el convent i l'església el 1635.	 (Abans de 1900)	Buensuceso	CIUTAT VELLA (01)
492	51169	Ptge	Passatge de Bonavista	Ptge Bonavista	Per l'església de la Mare de Déu del Bon Succés, amb el convent annex, abans dels religiosos servites establerts a Barcelona l'any 1576, que van edificar el convent i l'església el 1635. El 1835 passà a quarter d'invàlids, després a hospital militar i també fou caserna d'infanteria.	 (Abans de 1444)	Buensuceso	CIUTAT VELLA (01)
493	51205	C	Carrer de Buenos Aires	Buenos Aires	Josep Buïgas i Gauran (Barcelona, 1805 - 1877). Propietari dels terrenys situats en l'antic paratge conegut com a Torre de Sant Sever i posteriorment com a Torre Gironella. Foren comprats a Antoni de Gironella, terratinent, el 1850.			SARRIÀ-SANT GERVASI (05)
494	51307	C	Carrer del Bonsuccés	Bonsuccés	Municipi de Mallorca Occidental. Carrer situat a Vilapicina, on hi ha diversos carrers amb noms de poblacions mallorquines (Felanitx, Valldemossa, Formentor, Alcúdia, etc.).		Buñola	NOU BARRIS (08)
495	51409	Pl	Plaça del Bonsuccés	Pl Bonsuccés	Ciutat de Gascunya. Es posà el nom al carrer per la Congregació de la Sagrada Família de Bordeus, allí establerta, de la qual va ser fundador Pierre Bienvenu Noailles, natural d'aquesta ciutat.	07/07/1942	Burdeos; Núm. 31 (les Corts)	LES CORTS (04)
496	51500	C	Carrer de Buïgas	Buïgas	Província que pertany a la regió de Castella i Lleó. Disposa de cinc comarques naturals: El Páramo, La Bureba, La Ribera, La Sierra i la Zona Norte, a més del comtat de Treviño.	05/09/1907	Flandes; San Bartolomé	SANTS-MONTJUÏC (03)
497	51704	C	Carrer de Bunyola	Bunyola	Municipi de la Plana Baixa.	05/09/1907	Burriana; Mar	SANT ANDREU (09)
498	51806	C	Carrer de Bordeus	Bordeus	Tomàs Borrull i Fita (Barcelona, 1807 - 1857). Pagès. Casat amb Maria Casamitjana, propietària dels terrenys que foren de la marquesa de Mojà i de Cartellà. Borrull o Burrull, variant de Borrell, apareix de les dues formes en aquesta nissaga.			SANT MARTÍ (10)
499	51908	C	Carrer de Burgos	Burgos	Gervasi Buscarons i Anglada (? - 1859). Pagès i propietari dels terrenys i la casa situats en el paratge conegut com a Can Tut, terrenys que pertanyien a l'heretat Manso Vendrell. L'antiga casa Buscarons, encara subsistent a començaments del segle XX, era una de les cases isolades de les quals sorgí la denominació Cassoles, afegida a Sant Gervasi. L'etimologia és incerta.	07/03/1878		SARRIÀ-SANT GERVASI (05)
500	52004	C	Carrer de Borriana	Borriana	Originàriament es va dedicar a Francesc Buxó i Oliana, propietari de l'indret després de comprar, l'any 1842, a l'Estat, l'heretat Torre de Santa Caterina de l'exconvent dels pares dominics. Ignorant aquesta circumstància, en el nomenclàtor de 1980, es va considerar dedicat a Narcís Buxó i Prats. Polític republicà. Alcalde de Barcelona el 1873.	 (Any 1862)		LES CORTS (04)
501	52106	Ptge	Passatge de Burrull	Ptge Burrull	Carrer del polígon industrial del Consorci de la Zona Franca. Amb alguna excepció, els carrers anomenats amb lletres segueixen la direcció nord-sud i els anomenats amb nombres segueixen la direcció est-oest.	16/02/1968		SANTS-MONTJUÏC (03)
502	52208	C	Carrer de Buscarons	Buscarons	Antoni Caba i Casamitjana (Barcelona, 1838 - 1907). Pintor. Professor i director de l'Escola de Belles Arts.	22/04/1999	Ptge. de Caba, 29/03/1922; Ptge. de Santa Eulàlia, 21/06/1862	LES CORTS (04)
503	52401	C	Carrer de Buxó	Buxó	Dolors Caballero i Rasco (1844 - 1886). Muller de Joaquim de Mercader i de Belloch, comte de Bell-lloc, propietari dels terrenys.	11/02/1873		LES CORTS (04)
504	52423	C	Carrer C Zona Franca	C	Per l'heretat que al segle XIX comprenia una extensió de terreny de 13 mujades, 898 canes destinades a conreu, una part erma i un hort. Carrer situat a la part nord del mas de Can Canet de la Riera. No es troba la relació del nom cavallers amb el proper mas Cavaller, situat al sud de l'esmentada propietat de Can Canet. Hom diu que el nom es posà per contraposició a l'existent carrer de les Dames.	25/09/1931	Caballeros	LES CORTS (04)
505	52503	Pl	Plaça de Caba	Pl Caba	Nissaga de propietaris del Poble-sec. El 1799, Pere Cabanas i Ferreras comprà a Pere Orri i Llosellas uns terrenys en aquest indret. El succeí el seu únic fill, Pere Cabanas i Nadal. Fruit del segon casament amb Anna Gruart i Queralt nasqueren Manuel i Pere Cabanas. El carrer es considera dedicat a l'avi Pere Cabanas i Ferreras.	 (Abans de 1900)		SANTS-MONTJUÏC (03)
506	52605	C	Carrer de Caballero	Caballero	Barri marítim de València.	05/09/1907	Cabañal; Colón, abans de 1900	SANT MARTÍ (10)
507	52707	C	Carrer dels Cavallers	Cavallers	Guillem de Cabestany (Rosselló, 1162 - 1212). Trobador en llengua provençal.	05/09/1907	San Benito, 08/09/1848	LES CORTS (04)
508	52900	C	Carrer de Cabanes	Cabanes	Els caprins. Nom popular antic a causa dels corrals de cabres instal·lats a l'indret des del segle XV.	 (Abans de 1865)		CIUTAT VELLA (01)
509	53007	C	Carrer del Cabanyal	Cabanyal	Guerau de Cabrera (segle XII). Noble trobador, vescomte de Girona i d'Àger. Ell, Guillem de Berguedà i Guillem de Cabestany són els tres grans trobadors catalans en llengua provençal.	05/09/1907	Oriente	SANT ANDREU (09)
510	53109	C	Carrer de Cabestany	Cabestany	Província extremenya molt extensa. Les principals comarques són: Las Hurdes, La Vera, Las Villueras i la Vall de Plasència.		Mercado	SANTS-MONTJUÏC (03)
511	53200	C	Carrer de les Cabres	Cabres	Municipi de l'Alt Empordà. Carrer que forma conjunt amb el de Portbou.	05/09/1907	Torres	SANTS-MONTJUÏC (03)
512	53302	C	Carrer de Cabrera	Cabrera	Creuava el carrilet que conduïa al Baix Llobregat; a l'encreuament hi havia una cadena.			SANTS-MONTJUÏC (03)
513	53506	C	Carrer de Càceres	Càceres	Serra del prepirineu català. Carrer del barri del Turó de la Peira, on hi ha diversos carrers dedicats a muntanyes, serralades i turons.			NOU BARRIS (08)
514	53608	C	Carrer de Cadaqués	Cadaqués	Ciutat andalusa. Capital de la província de Cadis (Gades, per als romans, port principal de la Bètica). En les Corts de Cadis es promulgà la primera constitució el 1812.	12/10/1887	Cádiz	SARRIÀ-SANT GERVASI (05)
515	53801	Camí	Camí de la Cadena	Camí Cadena	Municipi de la Baixa Cerdanya.	16/02/1962		HORTA-GUINARDÓ (07)
516	54000	C	Carrer del Cadí	Cadí	Ciutat d'Egipte, capital de l'Estat.	05/09/1907	El Cairo; Santa Rosa, 21/02/1891	SARRIÀ-SANT GERVASI (05)
517	54101	C	Carrer de Cadis	Cadis	Obert en terrenys de la Caixa, amb motiu de la construcció de blocs d'habitatges.			HORTA-GUINARDÓ (07)
518	54305	C	Carrer de Queixans	Queixans	Regió d'Itàlia meridional. Se li posà el nom en record de la històrica expansió mediterrània de Catalunya i Aragó.	19/12/1863	Núm. 17 (Pla Cerdà); Núm. 15 (Pla Cerdà)	EIXAMPLE (02)
519	54407	C	Carrer del Caire	Caire	Municipi de l'Anoia.	05/09/1907	Conca de Barbará (s'hi uneix), 05/09/1907; Cortés, 19/08/1868; Fortuny, 27/09/1876	SARRIÀ-SANT GERVASI (05)
520	54451	Ptge	Passatge de la Caixa d'Estalvis	Ptge Caixa Estalv	Jaume Calafell i Rovira (1861 - 1937). Paleta. Aconseguí la propietat dels terrenys per establiment al seu favor d'Alexandre de Bacardí i Janer. Els terrenys formaven part de l'heretat Manso Grau.		Ateneo; Conde Linardi	HORTA-GUINARDÓ (07)
521	54509	C	Carrer de Calàbria	Calàbria	Per un pastor llenyataire que habitava en aquest carrer, dedicat a la cria d'ocells als quals ensenyava a cantar.	25/09/1931	Ubach y Viñeta; Calàndrias, 09/08/1927; Ubach y Viñeta (Ajuntament de Sarrià); Federico Soler; Calàndrias, abans de 1888	SARRIÀ-SANT GERVASI (05)
522	54600	C	Carrer de Calaf	Calaf	Orde militar fundat el 1158 per l'abat de Fiteró, Ramon Serrat. Adoptà la regla del Cister. L'orde fou introduït a la Corona catalanoaragonesa per Alfons I el Cast, al qual demanà ajut per a la conquesta de la zona del Matarranya. Foren recompensats amb la cessió, el 1180, de bona part del territori conquerit i com a centre important la vila d'Alcanyís.	07/03/1939	Bernat de Sarrià; Calatrava; Bernat de Sarrià (Ajuntament de Sarrià); Comercio	SARRIÀ-SANT GERVASI (05)
523	54702	Ptge	Passatge de Calafell	Ptge Calafell	Pedro Calderón de la Barca (Madrid, 1600 - 1681). Autor dramàtic i sacerdot. Famós escriptor de la cort, investit amb l'hàbit de Santiago.	05/09/1907	Ctra. Nueva del Carmelo	HORTA-GUINARDÓ (07)
524	54804	C	Carrer de les Calàndries	Calàndries	Nom d'una antiga família noble catalana, senyors de les baronies de Segur i Pierola. Destacà Lluís Joan de Calders, conseller en cap de Barcelona el 1639.	01/07/1929	Caldes	CIUTAT VELLA (01)
525	54906	C	Carrer de Calatrava	Calatrava	Municipi del Maresme. L'increment del comerç marítim amb Amèrica al segle XVIII propicià l'activitat industrial de teixits i de filats. Fins a la primera meitat del segle XX fou un dels primers centres catalans del tèxtil.	05/09/1907	Triunfo	CIUTAT VELLA (01)
526	55002	C	Carrer de Calderón de la Barca	Calderón Barca	Jaume Calendau (segle XVIII). Administrador dels barons de la Barre i propietari dels terrenys en què, gràcies a la donació dels barons, s'obrí el carrer	29/03/1922	San José	GRÀCIA (06)
527	55104	C	Carrer de Calders	Calders	Per la família d'empresaris Calvell. Manuel d'Ibarra, batlle general i administrador del Reial Patrimoni de Catalunya, establí, el 1831, uns terrenys en el lloc anomenat del canyet, a favor de Jaume Calvell i Riera, pilot d'altura i fabricant d'eixàrcies. Aquest féu construir-hi una fàbrica i atorgà agnició de bona fe al seu germà Joan Calvell i Riera (1804 - 1866), també fabricant d'eixàrcies. La nissaga continuà amb el fill de Jaume, Pau Calvell i Julià, el nét, Pau Calvell i Martí, i el besnét, Pau Calvell i Pàmies.	 (Abans de 1900)		SANT MARTÍ (10)
528	55206	C	Carrer de Calella	Calella	Maria del Remei Calvet i Sagrera (Barcelona, 1848 - 1927). Propietària dels terrenys on es començà a obrir el carrer per herència del seu marit, Salvador Sagués i Quintana, que comprà la finca el 1871. Ignorant aquest fet, en el nomenclàtor de 1980 el carrer fou dedicat a Damàs Calvet i de Budalles (Figueres, 1836 - Barcelona, 1891). Poeta i dramaturg romàntic. Mestre en gai saber (1878). Se seguí el criteri de dedicar carrers a personatges documentats a l'Enciclopèdia Catalana quan no se sabia l'origen del nom.	27/06/1877	T. de Galvany (un tram)	SARRIÀ-SANT GERVASI (05)
529	55308	C	Carrer de Calendau	Calendau	Francesc Calvó i Brossa (Barcelona, 1865 - 1937). Procurador, administrador i marmessor testamentari de Consol de Moragas i de Quintana, marquesa de Moragas, i de la seva filla, Consol Vidal de Moragas, muller de Joaquim Jover i Costas, marquès de Gelida, que foren propietaris dels terrenys quan s'urbanitzaren a principis del segle XX.	12/10/1911		SARRIÀ-SANT GERVASI (05)
530	55501	Pg	Passeig de Calvell	Pg Calvell	Francesc Macià i Llussà (Vilanova i la Geltrú, 1859 - Barcelona, 1933). President de la Generalitat. Proclamà la República Catalana com a estat integrant de la Federació Ibèrica.	20/12/1979	Calvo Sotelo, 07/03/1939; Germans Badia, 1936; Alcalá Zamora, 23/09/1932	EIXAMPLE (02) LES CORTS (04) SARRIÀ-SANT GERVASI (05)
531	55603	C	Carrer de Calvet	Calvet	Hi acostumaven a firar els gèneres els jueus. Carrer principal de l'antic barri jueu de la ciutat, embolcat pels carrers de la Baixada de Santa Eulàlia, Banys Nous, Call i Sant Honorat.	 (Abans de 1865)		CIUTAT VELLA (01)
532	55705	Pl	Plaça de Calvó	Pl Calvó	Ciutat del Perú. Hi tingué lloc l'any 1866 el fet d'armes del mateix nom, amb motiu de la guerra del Pacífic entre Espanya i Xile i el Perú.	01/07/1929		SANTS-MONTJUÏC (03)
533	55807	Pl	Plaça de Francesc Macià	Pl Francesc Macià	Ciutat de Sardenya, port que, com el de l'Alguer o els sicilians de Palerm i Trapani, fou a l'edat mitjana un dels punts finals de la ruta de les illes, una de les bases del comerç marítim de Barcelona.	27/07/1960		SANT MARTÍ (10)
534	55909	C	Carrer del Call	Call	Municipi de la Noguera. Carrer situat al grup de cases Milans del Bosch, al barri del Bon Pastor, on diversos carrers són dedicats a poblacions catalanes.	29/05/1945	Núm. 11	SANT ANDREU (09)
535	56005	C	Carrer del Callao	Callao	Pels mercaders canviadors de monedes del segle XIII.	 (Abans de 1865)	Cambios Nuevos; Cambios	CIUTAT VELLA (01)
536	56107	C	Carrer de Càller	Càller	Pels mercaders canviadors de monedes del segle XIII. Els abusos dels canvis foren intentats tallar erigint la taula del canvi o dipòsit, l'any 1401.	 (Abans de 1865)	Cambios Viejos	CIUTAT VELLA (01)
537	56129	C	Carrer de Camarasa	Camarasa	Municipi del Baix Camp i carrer de Barcelona. Aquest municipi demanà l'any 1437 la unió a Barcelona amb la fórmula del carreratge, per la qual era considerat com un carrer de Barcelona i els seus habitants gaudien dels mateixos drets i privilegis que els de la capital. Aquest motiu és principal sobre qualsevol altre que es consideri, en l'atorgament del nom del carrer.	05/09/1907	San Antonio	GRÀCIA (06)
538	56209	C	Carrer dels Canvis Nous	Canvis Nous	L'arbre o arbust. Nom probablement influït pel corrent romàntic de l'època. Carrer de Gràcia.	 (Abans de 1900)	Camelias	GRÀCIA (06) HORTA-GUINARDÓ (07)
539	56300	C	Carrer dels Canvis Vells	Canvis Vells	L'arbre o arbust. Desemboca al carrer de les Camèlies. Carrer de Gràcia.		Camelias	HORTA-GUINARDÓ (07)
540	56402	C	Carrer de Cambrils	Cambrils	Camil Fabra i Fontanills (Barcelona, 1833 - 1902). Industrial i polític. Alcalde de Barcelona (1893). El 1901 finançà l'edificació de l'Observatori Fabra, al Tibidabo. Primer marquès d'Alella.		Camilo Fabra; Interior de la Fábrica Fabra i Coats	SANT ANDREU (09)
541	56504	C	Carrer de les Camèlies	Camèlies	Camil Oliveras i Gensana (Figueres, 1840 - Barcelona, 1898). Mestre d'obres i arquitecte. Formà part de la primera generació d'arquitectes modernistes catalans. Fou l'autor del projecte de la Casa Provincial de Maternitat a les Corts de Sarrià.		Camilo Oliveras; Arco de San Martín (un tram), 04/02/1931	HORTA-GUINARDÓ (07)
542	56606	Ptge	Passatge de les Camèlies	Ptge Camèlies	Camí antic anomenat Pont de les vaques.			SANT MARTÍ (10)
543	56708	C	Carrer de Camil Fabra	Camil Fabra	Municipi del Gironès. Carrer situat al grup de cases Ramon Albó, al Turó de la Peira, on diversos carrers són dedicats a poblacions de la província de Girona.	29/05/1945	Núm. 21	NOU BARRIS (08)
544	56800	C	Carrer de Camil Oliveras	Camil Oliveras	Condueix a la plaça del Camp, dedicada al camp del convent i monestir de Nostra Senyora de la Concepció de l'orde de les carmelites descalces.	29/03/1874		SARRIÀ-SANT GERVASI (05)
545	57008	Ptge	Passatge del Caminal	Ptge Caminal	Plaça del camp del monestir de les Carmelites. Josep Garriga i Llastanós (Vic, 1800  -  Barcelona, 1877) fou el propietari promotor de la urbanització del camp del monestir de les carmelites. En el plànol de la urbanització es mantingueren els noms dels antics propietaris, Sivilla i Arimon, s'hi afegí el del nou propietari, Garriga (avui carrer de Muntaner), i el de Camp, pel camp esmentat. Finalment, i com tots a caprici del promotor, el de Babilònia, en uns marges termeners del camp, que no sabem si, de ser florits, en podien haver motivat el nom.	29/03/1874		SARRIÀ-SANT GERVASI (05)
546	57100	C	Carrer de Camós	Camós	Damià Campeny i Estrany (Mataró, 1771 - Barcelona, 1855). Escultor.	28/01/1918	Dragón	SANT ANDREU (09)
547	57201	C	Carrer del Camp	Camp	Municipi del Vallès Oriental. Carrer situat en el grup de cases del Baró de Viver, on els carrers són dedicats a llocs i poblacions catalanes.	29/05/1945	Núm. 3	SANT ANDREU (09)
548	57303	Pl	Plaça del Camp	Pl Camp	Donava a uns camps de conreu.		Campo	SANT MARTÍ (10)
549	57507	C	Carrer de Campeny	Campeny	Antic lloc anomenat Arriassa, conegut posteriorment per Camp de la Mata. Aquest camp i altres foren donats en establiment per fra Gaspar Despares, monjo i cambrer del monestir de Ripoll, a favor de Joan Vicenç Cellarés, el 1590.	24/02/1960	Campo Arriaza	SANT MARTÍ (10)
550	57609	C	Carrer de Campins	Campins	Barri rural de Guanabacos, l'Havana (Cuba). El nom es deu a uns indians que procediren a la nomenclatura d'un conjunt de carrers del barri (Pinar del Río, Manigua, Matanzas, Puerto Príncipe, Cienfuegos).			SANT ANDREU (09)
551	57700	Ptge	Passatge del Camp	Ptge Camp	Per la part del terreny, propietat de Domènec Vidal i Balaguer, format per tres solars a la part superior i davant de la casa torre anomenada De Laforge. A la seva mort la propietat passà als seus fills menors d'edat, Domènec i Sebastià Vidal i Soler.	 (Abans de 1850)	Campo de Vidal	SARRIÀ-SANT GERVASI (05)
552	57802	C	Carrer del Camp Arriassa	Camp Arriassa	Ramón de Campoamor i Campoosorio (Navia, 1817 - Madrid, 1901). Poeta postromàntic. Polític del partit moderat, governador de València (1851), diputat a Corts, director general de Beneficència i Sanitat, i membre de l'Acadèmia Espanyola (1862).	05/09/1907	Rbla. Cortada	HORTA-GUINARDÓ (07)
553	57904	C	Carrer de Campo Florido	Campo Florido	Pels extensos jardins amb aquest nom, construïts a l'indret l'any 1853, que comptaven amb un parc d'atraccions, un estany, una pista per a espectacles gimnàstics i de circ i, des de 1856, un hipòdrom.		Campos Elíseos	EIXAMPLE (02)
554	58000	C	Carrer del Camp d'en Vidal	Camp d'en Vidal	Miquel Campreciós i Albert (Barcelona, 1878 - 1953). Propietari d'un petit terreny a l'indret, en el lloc anomenat la muntanya o pedrera de Tardà. Fou propietari des que es posà nom al carrer. El 1928 vengué part de la finca.	 (Abans de 1928)	Campresiós	NOU BARRIS (08)
555	58102	C	Carrer de Campoamor	Campoamor	Municipi del Ripollès, a la confluència dels rius Ter i Ritort.	05/09/1907	San José	GRÀCIA (06)
556	58204	Ptge	Passatge dels Camps Elisis	Ptge Camps Elisis	Antoni Camps i Fabrés (Manresa, 1822 - Barcelona, 1882). Industrial tèxtil i poeta romàntic. Guanyà un premi especial en els Jocs Florals i, l'any 1861, la Flor Natural. Fou diputat provincial per Manresa el 1871.	29/03/1922	Camps y Fabrés; Príncipe de Asturias	SARRIÀ-SANT GERVASI (05)
557	58306	C	Carrer de Campreciós	Campreciós	Per la masia de la part muntanyenca del terme municipal de Barcelona.			SARRIÀ-SANT GERVASI (05)
558	58408	C	Carrer de Camprodon	Camprodon	Per la masia del mateix nom. Pròpiament, Can Beceda.			SARRIÀ-SANT GERVASI (05)
559	58500	C	Carrer de Camps i Fabrés	Camps i Fabrés	Pel mateix motiu que els jardins de Can Bruixa.	01/11/1950		LES CORTS (04)
560	58521	C	Carrer Can Balasch	Can Balasch	Per la mateixa dedicació que el carrer de Can Castellví.	20/12/1979		SARRIÀ-SANT GERVASI (05)
561	58532	Camí	Camí de Can Balasch	Camí Can Balasch	Pel nom de la propietat.	 (Abans de 1900)	Cº de Casa Caralleu	SARRIÀ-SANT GERVASI (05)
562	58543	C	Carrer de Can Basseda	Can Basseda	Per la casa pairal que existí en aquells indrets, on s'han construït un grup d'habitatges.			SANTS-MONTJUÏC (03)
563	58554	C	Carrer de Can Bruixa	Can Bruixa	Per la casa pairal amb el mateix nom, cap on conduïa el camí.			SANTS-MONTJUÏC (03)
564	58598	Camí	Camí de Can Castellví	Camí Can Castellví	Condueix al mas Sauró, a Vallvidrera.			SARRIÀ-SANT GERVASI (05)
565	58601	C	Carrer de Can Caralleu	Can Caralleu	A l'Antic Testament, la Palestina actual. Carrer situat a la barriada de la Vall d'Hebron, on els carrers són dedicats a pobles i llocs de l'esmentat país.	28/01/1959		GRÀCIA (06) HORTA-GUINARDÓ (07)
566	58612	C	Carrer de Can Clos	Can Clos	Jaume Canadell i Pujol (? - 1845). Propietari dels terrenys de l'heretat Torre Regàs. El succeí Joan B. Canadell Tort i després els germans Canadell Prats.	 (Abans de 1900)		EIXAMPLE (02)
567	58634	Camí	Camí de Can Clos	Camí Can Clos	José Canalejas Méndez (Ferrol, 1854 - Madrid, 1912). Advocat i polític liberal. President del Govern (1910 - 1912).			SANTS-MONTJUÏC (03)
568	58747	Camí	Camí de Can Pasqual	Camí Can Pasqual	L'arxipèlag espanyol de l'oceà Atlàntic, format per set grans illes: Lanzarote i Fuerteventura, a l'est; Gran Canària i Tenerife, a la part central, i Gomera, Hierro i La Palma, a la part oest.	07/03/1939	Canarias; Arquitecto Martorell; Canàrias; Arquitecto Martorell (Ajuntament de Sarrià); Santa Ana	SARRIÀ-SANT GERVASI (05)
569	58780	Camí	Camí del Mas Sauró	Camí Mas Sauró	La composició musical amb text, per a una o més veus i sovint amb acompanyament instrumental. Pertany a un conjunt de carrers del mateix indret dedicats a les arts musicals.			HORTA-GUINARDÓ (07)
570	58907	C	Carrer de Canaan	Canaan	Nom popular, record dels gremis dels candelers de sèu i dels candelers de cera, les primeres ordenances dels quals daten de l'any 1372.	 (Abans de 1865)		CIUTAT VELLA (01)
571	59003	Ptge	Passatge de Canadell	Ptge Canadell	Porció de terreny que pertanyia al Manso Canet. Els membres de la família Canet participaren en el govern de la vila de Sarrià en el segle XVII. En fou darrer propietari Josep Bosch i Canet, casat amb Joaquima Margenat i Cuyàs el 1812. En fou hereu Francesc Bosch Margenat, que ja no portà el nom del mas.	04/12/1888		SARRIÀ-SANT GERVASI (05)
572	59105	C	Carrer de Canalejas	Canalejas	Per la nissaga que fou propietària del mas amb aquest nom.	12/12/1957		SARRIÀ-SANT GERVASI (05)
573	59207	C	Carrer de les Canàries	Canàries	Municipi de la província d'Osca, Aragó, a la vall de Canfranc.	09/06/1954		NOU BARRIS (08)
574	59309	C	Carrer de la Cançó	Cançó	Massís pirinenc. Carrer del barri del Turó de la Peira, on hi ha diversos carrers dedicats a muntanyes, serralades i turons.			HORTA-GUINARDÓ (07)
575	59400	C	Carrer de les Candeles	Candeles	Jaume Almera i Comas (Vilassar de Mar, 1845 - Barcelona, 1919). Geòleg i eclesiàstic. Professor de geologia i d'història natural al Seminari de Barcelona, i fundador del Museu de Geognòsia i Paleontologia. Fou president de l'Acadèmia de Ciències i Arts de Barcelona (1907).	29/03/1922	Canónigo Almera; Doctor Almera; Andrés Molins; Collagats	HORTA-GUINARDÓ (07)
576	59604	C	Carrer de Canet	Canet	Joan Colom (? - 1229). Eclesiàstic medieval i canonge de la catedral de Barcelona. L'any 1219, fundà l'Hospital d'en Colom, el qual s'uní, l'any 1401, amb altres establiments assistencials i donà lloc a l'Hospital General de la Santa Creu.	26/04/1955	Plazuela del Canónigo Colom	CIUTAT VELLA (01)
577	59706	Ptge	Passatge de Canet	Ptge Canet	Canonge Cuffí (Mataró, ? - ?). Canonge de la catedral de Girona. Organitzà les forces del sometent amb motiu de la declaració de guerra a França l'any 1794.	19/11/1929	Canónigo Cuffí; Indústria	EIXAMPLE (02)
578	59808	C	Carrer de Canfranc	Canfranc	Esteve Pibernat i Girbau (Granollers, 1834 - Barcelona, 1907). Teòleg lectoral i ecònom de la parròquia de Sants. Catedràtic del seminari.	19/11/1929	Canónigo Pibernat; Regionalismo; Lepanto	SANTS-MONTJUÏC (03)
579	59900	C	Carrer del Canigó	Canigó	Francesc Rodó i Sala (Terrassa, 1816 - Barcelona, 1902). Rector de l'església del Clot durant més de trenta anys.	02/03/1921	Canónigo Rodó; Iglesia	SANT MARTÍ (10)
580	60002	C	Carrer del Canonge Almera	Canonge Almera	Per la canonja, nom de la casa dels canonges.	 (Abans de 1900)		CIUTAT VELLA (01)
581	60104	Pl	Plaça del Canonge Colom	Pl Canonge Colom	Municipi del Vallès Oriental i carrer de Barcelona. Aquesta vila demanà l'any 1385 la unió a Barcelona amb la fórmula del carreratge, per la qual era considerada com un carrer de Barcelona i els seus habitants gaudien dels mateixos drets i privilegis que els de la capital.	25/04/1958	Núm. 7	HORTA-GUINARDÓ (07)
582	60206	Ptge	Passatge del Canonge Cuffí	Ptge Canonge Cuffí	Municipi del Vallès Oriental. Carrer del barri de Sant Genís dels Agudells.	25/04/1958	Núm. 9	HORTA-GUINARDÓ (07)
583	60308	C	Carrer del Canonge Pibernat	Canonge Pibernat	La comunitat autònoma. Forma conjunt amb els carrers del mateix barri dedicats a regions i províncies de la península Ibèrica.	25/04/1945	General Manso; Manso; Núm. 61 (Pla Cerdà)	SANT MARTÍ (10)
584	60400	Pl	Plaça del Canonge Rodó	Pl Canonge Rodó	En referència a la pedrera de Tardà que existí en aquells indrets. S'ha conservat cantera (pedra grossa) per evitar duplicitat amb el carrer de les Pedreres.	31/10/1955		NOU BARRIS (08)
585	60501	Bda	Baixada de la Canonja	Bda Canonja	Per la pedrera del Mussol que existí en aquell indret. Topònim antic a la muntanya de Montjuïc.	23/06/1965	Cantera del Mussol	SANTS-MONTJUÏC (03)
586	60603	C	Carrer de Canovelles	Canovelles	Per les antigues pedreres de Montjuïc que hi havia a prop, avui desaparegudes.	 (Abans de 1900)	Canteras	SANTS-MONTJUÏC (03)
587	60705	C	Carrer de Cànoves	Cànoves	Joan Cantí i Sanvicens (1817 - 1890). Comprà els terrenys a Mariano d'Aguirre i de Venero, el 1856. El seu fill, Domènec Cantí i Joan, en fou hereu i propietari de la fàbrica de tints i aprests.	 (Abans de 1875)		SANT MARTÍ (10)
588	60807	C	Carrer de Cantàbria	Cantàbria	Pel nom amb què era coneguda la muller d'un personatge anomenat Canut. Consta que el carrer ja tenia aquest nom l'any 1446.	 (Abans de 1865)		CIUTAT VELLA (01)
589	61005	C	Carrer de la Cantera	Cantera	Pel terreny que pertanyia a l'heretat Dragó de Dalt i en el paratge del pla de Canyelles. La família Planas en fou propietària de més d'onze mujades de terreny, en el segle XIX, i abans Baltasar Molins. El nom canyameres és un derivat de cànem.		Cañameras	NOU BARRIS (08)
590	61050	C	Carrer de la Pedrera del Mussol	Pedrera del Mussol	Pròpiament Josep Cañellas, propietari de l'indret que urbanitzà el carrer en el segle XIX.		Cañellas	SARRIÀ-SANT GERVASI (05)
